Den;Datum;Tyd;Akt;Slot 1 (hlavni);Typ S1;Vrstva S1;Slot 2 (vedlejsi);Typ S2;Vrstva S2;Dopis/Udalost;Ranni fragment;Vecerni volba;Noviny;Poznamky
9;12.3.;Ct;2;Var: pripad propojeni;Mor;Var;Pool: domaci nasili;Mor;Pool;--;Karas na chodbe. Nepozdravi.;Prochazka / Hospoda;TEXT: Creditanstalt;Karasova veta: Opatrne. Propojeni pres jmeno.
10;13.3.;Pa;2;Hranice 2 (Nemec);Pol;Tyc;Var: svedek z D3;Mor;Var;Haasova vizitka (bez textu);Muz prodava knihy na ulici.;--;OBR: Politicke napeti;Hranice: narodnostni. Svedek z D3. Pavucina.
SO;14.3.;So;--;-- SOBOTA --;;;;;;Sobotni shrnuti;;;;
NE;15.3.;Ne;--;-- NEDELE --;;;;;;Nedelni volba;;;;
11;16.3.;Po;3;Vlckova explicitni zadost;Pol;Tyc;Hranice 2b (alt)/Pool;Pol;Var;Vlckuv dopis: Ocekavam...;Chodba ticha. Dve zidle prazdne.;Psat Martinovi;TEXT: Kdo ridi justici?;Vlcek explicitni. Var slot 2 = MOC.
12;17.3.;Ut;3;Var: echo stareho pripadu;Osob;Var;Markova 2 (zachrankyne);Mor;Tyc;Zavadova: Potrebuji mluvit.;Svejda: Byla tu zena. Ptala se.;Prochazka / Hospoda;TEXT: Zahadne umrti;Zavadova mimo soud. Markova: presnost zachrani.
13;18.3.;St;3;BENES PRIJDE;Osob;Tyc;Bozena 4 (tragedie);Rut>Trag;Tyc;Benesuv listek predem;Sen o soudni sini.;Psat Martinovi (zvl);TEXT: Soudce zprostil;VETVENI 2: Benesova pravda. Bozena: otrava.
14;19.3.;Ct;3;MRTVY SVEDEK (Pospisil 3);Pol;Tyc;Horackova OBZALOVANA;Pol;Tyc;Martinuv dopis (pripad z novin);Policejni auto. Dva muzi.;Hospoda (Pospisil?);OBR: Mrtvola;Zavadova: Rad. My. Horackova: svedkyne z D7.
15;20.3.;Pa;3;ZVRAT: rodny list + Anna/Haas;Osob;Tyc;Var: politicky pripad;Pol;Var;DVA ZVRATY;Kabinet zamknuty zvenku.;--;TEXT: Ministerstvo reaguje;Alexander Wolf + Anna Vrana Podoli Haas.
SO;21.3.;So;--;-- SOBOTA --;;;;;;Sobotni shrnuti;;;;
NE;22.3.;Ne;--;-- NEDELE --;;;;;;Nedelni volba (matka = posledni sance);;;;Klicova nedele - hrac vi o Haasovi.
16;23.3.;Po;4;HAAS OSOBNE (300 Kc);Osob;Tyc;Pospisil 4 (klicovy svedek);Pol;Tyc;Haasova obalka na stole;Ruce se tresou.;Psat Martinovi;TEXT: Tise pred bouri;VETVENI 3: Haas nabidka. Deadline operace.
17;24.3.;Ut;4;Zavadova: Vime vse.;Osob;Tyc;Hranice 3 (finale);Pol;Tyc;Zavadova odhali podvrh;Nikdo na chodbe. Ticho.;Prochazka;TEXT: Rikaji o nem veci;Zavadova: bratr. Rodny list podvrh. 34cm=metafora.
18;25.3.;St;4;KARAS VARUJE;Osob;Tyc;Bozena 5 (precedent);Pol(!);Tyc;--;Svejda mlci.;-- (Karasova scena vecer);OBR: Skandal?;VETVENI 4: Vzpominas na Viden? Bozena: precedent.
19;26.3.;Ct;4;Markova OBZALOVANA;Mor;Tyc;Var: posledni vedlejsi;Mor/Pol;Var;Martinuv dopis: Prijedu o vikendu.;Posledni rano. Svetlo jine.;-- (automaticky vecer);TEXT: Posledni den?;Markova souzena. Martin: slova Zavadove.
20;27.3.;Pa;4;VELEZRADA (finalni pripad);Pol;Tyc;-- (jen 1 pripad);;;--;Soudni sin. Naposledy.;--;OBR: Finale;Obzalovany SKUTECNE vinen. EPILOG.
